x,y
482,182
483,182
484,182
485,182
485,183
485,184
485,185
486,185
486,186
487,186
488,186
489,186
490,186
490,187
491,187
491,188
491,189
491,190
491,191
492,191
493,191
494,191
495,191
495,192
496,192
497,192
498,192
499,192
500,192
501,192
502,192
503,192
504,192
504,193
505,193
505,194
505,195
505,196
506,196
506,197
506,198
506,199
506,200
506,201
506,202
505,202
505,203
505,204
504,204
503,204
503,205
503,206
503,207
503,208
503,209
503,210
503,211
503,212
503,213
503,214
503,215
503,216
503,217
502,217
502,218
501,218
500,218
499,218
499,219
498,219
498,220
498,221
497,221
497,222
496,222
495,222
494,222
493,222
492,222
491,222
490,222
489,222
488,222
488,223
488,224
488,225
488,226
487,226
486,226
485,226
485,227
484,227
484,228
483,228
482,228
481,228
480,228
480,229
479,229
478,229
477,229
476,229
475,229
474,229
474,230
474,231
473,231
473,232
472,232
471,232
470,232
469,232
468,232
467,232
466,232
466,233
466,234
465,234
465,235
464,235
464,236
463,236
463,237
463,238
462,238
461,238
460,238
459,238
458,238
457,238
456,238
455,238
454,238
453,238
452,238
451,238
450,238
449,238
448,238
447,238
446,238
446,239
445,239
445,240
445,241
444,241
444,242
444,243
443,243
443,244
442,244
442,245
441,245
440,245
439,245
438,245
438,246
437,246
437,247
436,247
435,247
435,248
435,249
434,249
433,249
432,249
431,249
430,249
429,249
428,249
427,249
427,250
426,250
425,250
424,250
423,250
422,250
421,250
420,250
420,249
419,249
418,249
417,249
416,249
415,249
414,249
414,248
413,248
412,248
411,248
410,248
409,248
408,248
407,248
406,248
405,248
405,249
404,249
403,249
402,249
401,249
400,249
399,249
398,249
397,249
396,249
395,249
394,249
393,249
393,250
393,251
392,251
391,251
390,251
390,252
389,252
388,252
387,252
386,252
385,252
384,252
384,253
383,253
382,253
382,254
382,255
381,255
380,255
379,255
378,255
378,254
377,254
377,253
376,253
375,253
374,253
373,253
372,253
371,253
370,253
369,253
368,253
367,253
366,253
365,253
364,253
363,253
363,254
363,255
362,255
361,255
360,255
359,255
358,255
357,255
356,255
355,255
355,256
355,257
354,257
353,257
352,257
351,257
350,257
349,257
348,257
347,257
346,257
345,257
344,257
343,257
343,258
343,259
343,260
343,261
343,262
343,263
343,264
342,264
342,265
342,266
342,267
342,268
342,269
342,270
342,271
342,272
342,273
341,273
341,274
340,274
340,275
340,276
340,277
339,277
338,277
337,277
337,278
337,279
337,280
337,281
337,282
336,282
335,282
334,282
333,282
332,282
332,283
331,283
330,283
329,283
328,283
327,283
326,283
325,283
324,283
323,283
322,283
321,283
320,283
319,283
318,283
317,283
316,283
315,283
314,283
313,283
313,284
313,285
312,285
312,286
311,286
311,287
311,288
310,288
309,288
308,288
307,288
306,288
305,288
305,289
305,290
305,291
305,292
305,293
304,293
303,293
302,293
301,293
300,293
300,294
299,294
298,294
298,295
297,295
297,296
296,296
296,297
295,297
295,298
294,298
294,299
294,300
294,301
294,302
294,303
294,304
294,305
294,306
294,307
294,308
294,309
293,309
292,309
292,310
292,311
291,311
291,312
290,312
290,313
290,314
289,314
288,314
287,314
286,314
285,314
285,315
284,315
284,316
283,316
283,317
282,317
281,317
280,317
279,317
278,317
277,317
276,317
276,316
275,316
274,316
273,316
272,316
272,315
271,315
270,315
269,315
268,315
267,315
267,314
266,314
266,313
265,313
265,312
264,312
263,312
263,311
263,310
262,310
261,310
260,310
259,310
258,310
257,310
256,310
255,310
254,310
253,310
252,310
251,310
250,310
249,310
249,309
248,309
247,309
246,309
245,309
244,309
243,309
242,309
241,309
241,308
240,308
239,308
238,308
237,308
236,308
236,307
235,307
234,307
233,307
232,307
231,307
231,308
230,308
230,309
230,310
230,311
229,311
229,312
228,312
227,312
226,312
225,312
224,312
224,313
223,313
222,313
221,313
220,313
219,313
218,313
217,313
216,313
215,313
215,314
215,315
215,316
214,316
213,316
212,316
211,316
210,316
209,316
208,316
207,316
206,316
205,316
204,316
203,316
202,316
201,316
200,316
200,317
199,317
198,317
197,317
196,317
195,317
194,317
193,317
192,317
191,317
190,317
189,317
188,317
188,318
188,319
187,319
186,319
186,320
186,321
186,322
186,323
185,323
185,324
185,325
185,326
184,326
183,326
182,326
181,326
180,326
179,326
178,326
177,326
176,326
175,326
174,326
174,325
173,325
172,325
171,325
170,325
170,324
170,323
170,322
170,321
169,321
169,320
168,320
168,319
167,319
166,319
165,319
164,319
164,320
163,320
162,320
161,320
160,320
159,320
158,320
158,321
157,321
156,321
155,321
154,321
154,322
153,322
152,322
152,323
151,323
151,324
151,325
150,325
150,326
149,326
149,327
149,328
148,328
147,328
146,328
146,329
145,329
144,329
143,329
142,329
141,329
140,329
139,329
139,330
138,330
137,330
137,331
136,331
135,331
134,331
133,331
133,332
132,332
132,333
131,333
130,333
129,333
128,333
128,334
128,335
128,336
128,337
127,337
127,338
127,339
127,340
126,340
125,340
124,340
123,340
122,340
121,340
121,339
121,338
120,338
119,338
118,338
117,338
116,338
115,338
114,338
113,338
112,338
111,338
110,338
109,338
108,338
107,338
106,338
106,337
105,337
104,337
103,337
102,337
102,336
101,336
100,336
100,335
99,335
98,335
98,334
97,334
97,333
96,333
95,333
94,333
93,333
92,333
91,333
91,334
90,334
89,334
88,334
87,334
86,334
85,334
84,334
83,334
82,334
82,335
82,336
81,336
81,337
80,337
80,338
80,339
80,340
80,341
80,342
80,343
80,344
80,345
80,346
79,346
78,346
77,346
76,346
75,346
