x,y
62,346
62,347
62,348
62,349
62,350
62,351
62,352
62,353
62,354
62,355
62,356
62,357
62,358
62,359
62,360
62,361
62,362
63,362
64,362
64,363
65,363
66,363
67,363
68,363
69,363
69,362
70,362
70,361
70,360
70,359
70,358
70,357
70,356
70,355
70,354
70,353
70,352
70,351
70,350
71,350
72,350
72,349
72,348
72,347
73,347
74,347
75,347
75,346
76,346
77,346
78,346
79,346
80,346
80,345
80,344
80,343
81,343
82,343
83,343
84,343
85,343
86,343
87,343
88,343
88,344
89,344
89,345
90,345
91,345
92,345
92,346
92,347
92,348
92,349
92,350
93,350
94,350
95,350
96,350
97,350
98,350
99,350
100,350
101,350
102,350
102,349
102,348
102,347
103,347
104,347
105,347
106,347
107,347
108,347
109,347
110,347
111,347
112,347
113,347
114,347
114,346
115,346
115,345
116,345
116,344
117,344
117,343
118,343
119,343
119,342
120,342
120,341
120,340
121,340
122,340
123,340
124,340
125,340
126,340
127,340
127,339
127,338
127,337
127,336
127,335
127,334
127,333
128,333
129,333
130,333
131,333
132,333
132,332
133,332
133,331
134,331
135,331
136,331
137,331
137,330
137,329
138,329
138,328
138,327
139,327
139,326
140,326
141,326
142,326
143,326
144,326
145,326
146,326
147,326
148,326
149,326
150,326
150,325
151,325
151,324
152,324
153,324
154,324
155,324
155,325
156,325
156,326
156,327
156,328
156,329
157,329
158,329
159,329
160,329
160,330
161,330
161,331
162,331
163,331
164,331
165,331
166,331
167,331
168,331
169,331
170,331
170,330
171,330
171,329
172,329
172,328
172,327
172,326
173,326
174,326
175,326
176,326
177,326
178,326
179,326
180,326
181,326
182,326
182,325
183,325
183,324
183,323
184,323
184,322
185,322
185,321
185,320
185,319
185,318
185,317
186,317
187,317
188,317
189,317
190,317
191,317
192,317
193,317
194,317
195,317
196,317
197,317
198,317
199,317
200,317
200,316
201,316
202,316
203,316
204,316
205,316
206,316
207,316
207,315
208,315
208,314
208,313
208,312
209,312
210,312
211,312
212,312
213,312
214,312
215,312
215,311
215,310
215,309
215,308
215,307
216,307
217,307
218,307
219,307
220,307
221,307
222,307
223,307
224,307
225,307
226,307
227,307
228,307
229,307
230,307
231,307
232,307
233,307
234,307
234,308
234,309
235,309
236,309
237,309
238,309
239,309
240,309
241,309
242,309
243,309
244,309
245,309
245,310
246,310
247,310
248,310
249,310
250,310
251,310
252,310
253,310
254,310
255,310
256,310
257,310
258,310
259,310
260,310
261,310
262,310
262,311
263,311
263,312
263,313
264,313
264,314
265,314
265,315
266,315
267,315
268,315
269,315
270,315
271,315
272,315
272,316
272,317
273,317
274,317
275,317
276,317
277,317
278,317
279,317
279,316
280,316
280,315
281,315
281,314
282,314
283,314
284,314
285,314
286,314
287,314
288,314
288,313
289,313
289,312
290,312
290,311
290,310
290,309
290,308
290,307
290,306
291,306
292,306
292,305
293,305
293,304
293,303
293,302
293,301
293,300
293,299
293,298
294,298
295,298
295,297
296,297
296,296
297,296
297,295
298,295
298,294
299,294
300,294
301,294
302,294
303,294
304,294
305,294
305,293
305,292
305,291
305,290
305,289
305,288
306,288
307,288
308,288
309,288
310,288
311,288
311,287
311,286
312,286
312,285
313,285
313,284
314,284
315,284
316,284
317,284
318,284
319,284
319,283
320,283
321,283
322,283
323,283
324,283
325,283
326,283
327,283
328,283
329,283
330,283
331,283
332,283
333,283
334,283
335,283
336,283
337,283
337,282
337,281
338,281
338,280
339,280
340,280
341,280
341,279
342,279
342,278
343,278
343,277
343,276
343,275
343,274
343,273
343,272
343,271
344,271
344,270
345,270
345,269
345,268
345,267
345,266
345,265
345,264
345,263
345,262
345,261
345,260
345,259
345,258
346,258
346,257
347,257
348,257
349,257
350,257
351,257
352,257
353,257
354,257
355,257
356,257
357,257
358,257
359,257
359,256
359,255
360,255
361,255
362,255
363,255
364,255
365,255
365,254
366,254
367,254
368,254
369,254
370,254
371,254
372,254
372,253
373,253
374,253
375,253
376,253
377,253
377,254
378,254
378,255
379,255
380,255
381,255
382,255
383,255
384,255
385,255
386,255
386,254
387,254
388,254
389,254
390,254
391,254
392,254
393,254
393,253
393,252
393,251
393,250
393,249
394,249
395,249
396,249
397,249
398,249
399,249
400,249
401,249
402,249
403,249
404,249
405,249
405,248
406,248
407,248
408,248
409,248
410,248
411,248
412,248
413,248
414,248
415,248
416,248
417,248
418,248
419,248
420,248
421,248
422,248
423,248
423,249
424,249
424,250
425,250
426,250
427,250
428,250
429,250
430,250
431,250
432,250
433,250
434,250
435,250
436,250
437,250
437,249
437,248
437,247
437,246
438,246
438,245
439,245
440,245
441,245
442,245
443,245
444,245
444,244
444,243
444,242
444,241
445,241
