x,y
194,458
193,458
192,458
191,458
190,458
190,459
190,460
190,461
189,461
188,461
188,460
188,459
188,458
188,457
188,456
188,455
188,454
188,453
188,452
188,451
189,451
189,450
190,450
190,449
191,449
191,448
191,447
192,447
192,446
193,446
193,445
194,445
195,445
196,445
197,445
198,445
199,445
200,445
201,445
202,445
203,445
204,445
205,445
206,445
207,445
208,445
208,444
208,443
208,442
208,441
209,441
209,440
210,440
210,439
211,439
212,439
212,438
212,437
212,436
212,435
212,434
212,433
212,432
212,431
213,431
214,431
214,430
214,429
214,428
214,427
214,426
214,425
215,425
215,424
216,424
217,424
217,423
217,422
217,421
217,420
218,420
218,419
219,419
220,419
220,418
220,417
220,416
220,415
220,414
220,413
220,412
220,411
220,410
220,409
220,408
221,408
222,408
223,408
224,408
224,407
224,406
224,405
224,404
224,403
225,403
225,402
226,402
226,401
226,400
226,399
226,398
226,397
226,396
225,396
225,395
225,394
225,393
225,392
225,391
225,390
225,389
225,388
224,388
224,387
224,386
224,385
224,384
224,383
225,383
226,383
226,382
227,382
228,382
228,381
229,381
229,380
230,380
230,379
231,379
232,379
233,379
234,379
235,379
236,379
236,378
236,377
236,376
236,375
236,374
236,373
236,372
236,371
236,370
236,369
236,368
236,367
236,366
236,365
236,364
236,363
236,362
236,361
235,361
235,360
235,359
234,359
233,359
232,359
232,358
232,357
232,356
232,355
232,354
232,353
232,352
232,351
232,350
232,349
232,348
232,347
232,346
232,345
232,344
232,343
232,342
232,341
232,340
232,339
232,338
232,337
232,336
232,335
232,334
232,333
232,332
232,331
232,330
232,329
232,328
232,327
232,326
232,325
232,324
232,323
232,322
232,321
231,321
231,320
230,320
229,320
229,319
229,318
229,317
229,316
229,315
229,314
229,313
229,312
229,311
230,311
230,310
230,309
230,308
231,308
231,307
232,307
233,307
234,307
235,307
236,307
237,307
238,307
239,307
240,307
241,307
242,307
243,307
244,307
245,307
246,307
247,307
248,307
249,307
249,306
249,305
249,304
249,303
249,302
249,301
